coin,snapshot height,balance
BTC(ALL),765333,25736.87098
ETH(ALL),-,143403.1463
ETH,16083851,125887.256
ETH-Arbitrum,42480854,7785.838076
ETH-Optimism,43950280,9730.052181
USDT(ALL),-,748602233.9
USDT-Avalanche C-Chain,23040384,56028922.25
USDT-TRC20,46412262,28005623.75
USDT-ETH,16083851,664567687.9
TRX(ALL),46412262,9668619974
HT(ALL),16083851,191262859.9

coin,address,snapshot height,balance,message,signature
ETH,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,16083851,132.3654238,King will be back!,0x7a499963f28d36b25a5f28aefa2a63e4d9ddc66b819165c3bb6d9bd057327c1f6135cff446e25dc6bd6822ce9524916a923fe38b988bb9564de84c0815b85c7601
ETH,0x42dc966b7ecc3c6cc73e7bc04862859d5bddce65,16083851,129.6499622,King will be back!,0x9802b6e8d91158f42dd23a274121aab30ab89a94a3050e238f7e917d544971ee3c5945f84da9cfc17d23358aa1ae596b613d9752255deb846311973850a1896600
ETH,0xe8d8a02601f54acb6fb69537be1f1d7cc76ccd8c,16083851,128.5425703,King will be back!,0xde46448136e3c1d5cbe5858627c2f82774ce7bf97943f9b19be37b2ebe5c056330d01f508d2050d62df4bff3a0786cd5c12e2979faaaedba70bff1f4585481c101
ETH,0xf881bcb3705926cea9c598ab05a837cf41a833a9,16083851,100.3047202,King will be back!,0x696f3457dc6a32d9c2abad886dc6249876d5f4ac942bbd09adfcd0064f7f0aae4ca6fe2ac6736fa691604ad44845964018137cdfacf13de6ceacef381863527001
ETH-Arbitrum,0xf2dbc42875e7764edbd89732a15214a9a0deb085,42480854,7785.838076,King will be back!,0x79b147ed5fbee1269cf51820576c97b6ee555b7120ac100f6e4207e6a0b75cc6758d0f0efa04baef66bd074e780a5dbf6a9bd2f0663bbff9587a4b3218002fd000
ETH-Optimism,0x9ef21be1c270aa1c3c3d750f458442397fbffcb6,43950280,9730.052181,King will be back!,0x6b98c9088c452640f905301fdb9c55b075c8ef52a439f01c40c0388cd797e856352db666167900d8529b104e4ef3929c4e4294d4c1096860ca4c459c4048512f01
USDT-Avalanche C-Chain,0xe195b82df6a797551eb1acd506e892531824af27,23040384,56028922.25,King will be back!,0xbc7e838dcc1ef4ef5ad8dec20b6d9dadb432cd610b7fdb702b754aa9e8f232ea52db0f310b2bf0d6f85202f252aee6d095ed7921b2f1aaf7c3b5ca26f5c37ac401
USDT-TRC20,TNaRAoLUyYEV2uF7GUrzSjRQTU8v5ZJ5VR,46412262,28005623.75,King will be back!,0x9c98138fff60f026963fcc271072966b6f1f9432010eed8f5615163c31e6dd7a4f54d132a0f8df84a1c787655d777758f597ff379247abed8e7e16b1a20ea8161c
USDT-ETH,0xa929022c9107643515f5c777ce9a910f0d1e490c,16083851,82327787,-,-
USDT-ETH,0x6b2286fc3a9265bab3f064808022aca54de4b6ce,-,-,King will be back!,
